simDay,A,D,E,I1,I2,R1,R2,S
150,0.027556301533979775,0.0013527839517395316,0.0006215079353569104,0.0008649986105682702,0.0016571885707989513,0.050948062471442374,0.14529691312459891,0.7717022438015151
151,0.0269334520926826,0.0013623983492027582,0.0005958583607050595,0.000829457158191005,0.0015993792360206186,0.05073881950503631,0.1470733803730379,0.7708672549251234
152,0.026314130513904174,0.0013716752120580672,0.0005716737092449121,0.000795055986399965,0.0015427496550035138,0.05051739370062811,0.14882083315582229,0.7700664880669389
153,0.02569960538704283,0.00138061494051972,0.0005479931261149243,0.0007618791873572139,0.0014873544543922896,0.05028457689762213,0.150539041986466,0.769298934020485
154,0.025090157487588152,0.00138922944721761,0.0005253443022673666,0.0007298561598618885,0.0014332308052968136,0.050041175848037335,0.1522278344981889,0.7685631714515416
155,0.024486412190039848,0.0013975269729712468,0.0005037321467925642,0.000698977010548318,0.00138041221316191,0.04978795460135738,0.1538870575421589,0.7678579273229694
156,0.02388927045916621,0.001405511773237567,0.0004826101941755192,0.0006692811119758554,0.0013289298747953084,0.04952565376226938,0.15551660997151462,0.7671821328528655
157,0.02329869297196292,0.0014131987508626104,0.00046281158418777296,0.0006406584344853391,0.0012788025870216404,0.04925502422530016,0.1571164355230756,0.7665343759231038
158,0.022715660785282463,0.0014205897361610638,0.00044338604099578596,0.0006131746094284657,0.0012300496967949826,0.04897677399851531,0.1586865614498511,0.7659138036829706
159,0.022140193260388775,0.0014276981529627736,0.0004249304894234269,0.000586739951799836,0.0011826796993820098,0.04869160055793589,0.1602270095427882,0.7653191483453186
160,0.021572783675557494,0.0014345305482640956,0.0004072060739866917,0.0005613493165939735,0.0011366989302373678,0.048400160466050085,0.16173784958705759,0.7647494214022525
161,0.02101388110988729,0.001441094144079207,0.00039006307368183576,0.0005369942533382946,0.0010921091089599554,0.048103079753762636,0.163219159681164,0.7642036188751266
162,0.02046350926487055,0.0014474013509111017,0.00037390746578382734,0.0005136022828446057,0.001048903944825811,0.047800979907968444,0.16467106359129158,0.763680632191504
163,0.01992231437987323,0.0014534551878966425,0.0003581497615705448,0.0004912068542797654,0.0010070811815477178,0.04749443793590745,0.16609370418714428,0.7631796505117802
164,0.019390190846131593,0.0014592689400531602,0.0003432192114904037,0.0004697254722784329,0.0009666265478766049,0.04718403994676229,0.1674872867630022,0.7626996422724047
165,0.01886749166346634,0.001464847722789169,0.0003288381310861259,0.00044915412644851296,0.0009275285826649988,0.046870317231939546,0.1688520178611642,0.762239804680441
166,0.01835438032590332,0.0014702001936639684,0.0003150359159910348,0.00042946190776873904,0.0008897699510278056,0.04655378297167858,0.1701881116804974,0.761799257053469
167,0.017850920066652436,0.0014753361035979322,0.00030194070941005945,0.0004106060117269496,0.0008533301912954977,0.0462349339705165,0.17149580773114184,0.7613771252156589
168,0.01735739959884404,0.0014802596086743542,0.0002892592083863214,0.0003925844575176096,0.0008181917174444357,0.045914233820188756,0.17277536920937164,0.7609727023795724
169,0.016873708336732705,0.001484982572716298,0.0002772533465959119,0.00037533707266133794,0.000784326593545872,0.04559214419645386,0.1740270992592775,0.7605851486220166
170,0.016400064537529728,0.0014895090943190788,0.00026566768563357707,0.0003588586132079393,0.0007517134772667044,0.04526908487636593,0.17525129607933926,0.7602138056363371
171,0.015936436247023397,0.0014938481472140776,0.00025460329478926684,0.0003431081508891431,0.0007203238779935735,0.04494546264169107,0.17644827812772945,0.7598579395126696
172,0.015482850355981318,0.001498007152925542,0.00024406465171838876,0.00032805721634807626,0.0006901295737568661,0.04462165953710356,0.17761836671116907,0.7595168648009971
173,0.015039411306263021,0.0015019909663324484,0.0002338908722479195,0.00031369360798029266,0.0006611037946222158,0.04429803557890097,0.17876189952842872,0.7591899743452241
174,0.014605971850906486,0.0015058094558712775,0.00022428192914234678,0.0002999678164708493,0.0006332140330714369,0.04397493916675516,0.17987922687054844,0.7588765888772335
175,0.014182627800081843,0.0015094661136717865,0.0002149908588345785,0.0002868750848263738,0.0006064322011333924,0.04365269238219483,0.1809707306023292,0.7585761849569278
176,0.0137692411099757,0.0015129694615230644,0.00020614937789923627,0.0002743739734890128,0.0005807252591843584,0.04333160128895245,0.1820367826708604,0.7582881568581159
