simDay,A,D,E,I1,I2,R1,R2,S
106,0.040556633174650664,0.0005979915438366815,0.002316419110379098,0.002667356845960918,0.0033656038166627023,0.03713339908206704,0.05254885677222699,0.8608137396542153
107,0.04098273672340425,0.0006185546653820048,0.0022919841961641283,0.00266346068910629,0.0033948416373990654,0.03800369017636985,0.054487819817777734,0.8575569120943967
108,0.04136419206155799,0.0006392803757541334,0.0022667292461154972,0.002655362882183871,0.003419729651529057,0.038858471303772534,0.05645989149350022,0.8543363429855861
109,0.041700672481931315,0.0006601396161427817,0.0022409160167232295,0.0026432827398305612,0.00344013185497466,0.03969586611609517,0.0584634856794077,0.8511555054948945
110,0.04199639256682719,0.0006810928330768437,0.0022078233429861384,0.002628155218476675,0.0034559356380407242,0.040514012619962424,0.06049694629423288,0.848019641486397
111,0.04224320334947142,0.000702132413790433,0.002180540875443884,0.002608774592212924,0.0034671978302021856,0.04131155644238522,0.06255851669011794,0.8449280778063757
112,0.0424505332812099,0.0007232071713358243,0.00214263935632225,0.002586781932216894,0.0034738684906010153,0.042086934220727026,0.06464658357128439,0.8418894519763026
113,0.04261053048289698,0.0007443072470282303,0.0021061004728023676,0.002560981415661126,0.003476018330823331,0.04283896483659386,0.06675932435671669,0.8389037728574776
114,0.04272591166322531,0.000765396130119417,0.002067706698194279,0.0025320118735145986,0.0034736101368527967,0.043566160811168285,0.06889480829147891,0.8359743943954464
115,0.042798663032306485,0.0007864418830392344,0.0020257107207304857,0.002500334236682297,0.0034666762512403832,0.044267241824050986,0.07105106300488534,0.8331038690470646
116,0.04282559393158221,0.0008074302096890897,0.001986907050563224,0.002465494196679783,0.003455340789731318,0.04494124803171022,0.0732260629851107,0.8302919228049336
117,0.04281341903695986,0.0008283110532234165,0.0019419076685345232,0.0024286975800567297,0.0034396595134402203,0.04558701584364844,0.07541777394221433,0.8275432153619218
118,0.042757418282833616,0.0008490830622509316,0.0018993241785554933,0.0023891167122303803,0.0034198221320351366,0.04620408615882846,0.07762427696753417,0.8248568725057318
119,0.04266218882882433,0.0008697041649660667,0.0018531642453886456,0.002347551475447076,0.0033959376569744804,0.046791626322892986,0.07984354200447419,0.822236285301032
120,0.04252681507103596,0.0008901566085776166,0.001806526136901095,0.002303853583988068,0.0033681525801807334,0.04734911925587822,0.08207355982345287,0.8196818169399851
121,0.04235151686760218,0.0009104209892004513,0.001761851905752772,0.002258091380867197,0.003336608114762785,0.04787602808663554,0.08431223059209153,0.8171932520630872
122,0.042141568505816615,0.000930458019850783,0.0017129604530308302,0.00221113879147125,0.003301440523557036,0.048371839962369614,0.08655752271752258,0.8147730710263815
