simDay,asymptomatic,deceased,exposed,infected1,infected2,recovered1,recovered2,susceptible
151,2953038.5007898323,275620.9757418183,44801.03292016078,62829.19059653349,134208.41884542114,6348159.16741439,17072461.447411884,30453962.048099775
152,2863035.6394541287,277047.7669389668,42442.860288939286,59307.723242372966,127510.5734605907,6300770.3849599995,17280221.625506066,30394744.20796875
153,2774823.455914189,278402.8221107512,40182.997552558016,55978.538101371756,121083.40078160966,6252586.360349486,17483346.190030705,30338677.016979147
154,2688394.5681286543,279690.6397141581,38062.888731572064,52827.54110753786,114921.72824271602,6203732.282763691,17681873.143362235,30285577.989769254
155,2603796.6385638863,280913.21939976164,36044.97312602739,49849.92792876684,109021.88816925537,6154319.060143151,17875837.32543386,30235297.749055114
156,2521050.459877874,282073.77588470146,34136.73730162549,47037.25549981964,103378.46399878345,6104451.953415644,18065275.260703746,30187676.875137605
157,2440169.3801949704,283175.468980856,32345.322266871593,44380.94053056389,97985.57667615262,6054231.072641481,18250228.335289236,30142564.685239688
158,2361184.3897791286,284220.14184613107,30634.758155808904,41876.56362580992,92837.91774660176,6003749.679241074,18430743.356581707,30099833.97484356
159,2284083.614227053,285211.5258979903,29036.27215629837,39513.31491693614,87928.16039040242,5953097.542260664,18606868.64597143,30059341.705999043
160,2208885.8366373135,286151.22488146304,27508.85967515968,37287.16931025186,83250.31414732504,5902358.169922323,18778661.38805619,30020977.819189783
161,2135575.406576723,287042.26754986885,26070.597106253554,35188.684110516384,78796.8524064176,5851609.272655865,18946177.294043854,29984620.40737034
162,2064153.479914191,287886.9341118197,24714.708852492855,33211.81154652125,74560.62856205337,5800922.811430832,19109471.672754087,29950158.73464781
163,1994623.1735397077,288687.1091348549,23423.531783261937,31351.74177261475,70534.65255865593,5750366.508020643,19268602.537923697,29917491.527086373
164,1926958.3634027562,289445.6875541879,22218.14947476045,29599.537360690356,66710.94387104953,5700004.54299135,19423630.080321822,29886513.4768432
165,1861160.0447877,290163.9858023214,21065.75658879977,27952.12798163138,63082.592516732344,5649896.448867478,19574619.73739863,29857140.08787653
166,1797199.566857086,290844.63944448164,19983.3640824653,26401.54941537398,59641.6460684273,5600097.958088358,19721634.45912234,29829277.598741278
167,1735063.6730244816,291489.26175579027,18958.965452407538,24943.242995042587,56380.89534164467,5550660.201351348,19864739.15045952,29802845.391439583
168,1674734.8965243918,292099.6424041996,17987.96342102707,23572.326085668697,53292.995519322656,5501630.79741529,20003997.794442277,29777764.36600763
169,1616185.4790604378,292677.9097224669,17076.99053854191,22282.852353911992,50370.32700153757,5453054.575839557,20139475.719222777,29753956.92808059
170,1559399.1702513506,293225.18747148744,16210.561340430577,21071.388953611677,47606.231852656776,5404972.4184046425,20271239.191880085,29731356.63166553
171,1504340.2661550818,293743.6417070314,15395.79915882186,19932.20496546825,44993.05122310157,5357423.052441449,20399358.31003865,29709894.456130207
172,1450985.7254038458,294234.4102671633,14623.269784784681,18861.689209382435,42524.25389309784,5310440.909805683,20523900.42216398,29689510.10129188
173,1399306.5148070352,294699.0905691785,13893.466831070828,17855.59834188247,40192.94739133137,5264058.0307396045,20644932.29407332,29670142.83906637
174,1349272.172435321,295139.1935752036,13206.388111623164,16909.91158115626,37992.44251614674,5218303.926994376,20762521.225511305,29651735.52109469
175,1300855.364722292,295555.70749680436,12553.79248345901,16021.58993930721,35916.67442405958,5173205.17020774,20876735.254660606,29634237.22788556
176,1254020.11340327,295950.3129016036,11941.270315670165,15186.442763792907,33959.05212635465,5128786.445500616,20987641.90212527,29617595.24268323
177,1208736.9803582586,296323.8298461106,11359.113542005118,14401.9214989896,32113.93360601285,5085069.41690619,21095310.616068747,29601764.9699935
178,1164969.7161929833,296677.62158074067,10810.259592813112,13664.429275865208,30375.31526506824,5042073.533768331,21199809.374030866,29586700.532113127
179,1122685.9737316363,297012.7320903949,10292.36874087708,12971.20690142945,28737.652052623478,4999816.036061313,21301205.167507,29572359.64473453
180,1081854.017143073,297330.0313836917,9800.858200784582,12319.881541094235,27195.73017097698,4958312.109921153,21399565.046779353,29558703.106679678
181,1042435.9590267374,297630.7712292636,9339.748073149862,11707.274619264857,25744.149680382863,4917575.073174243,21494955.96480082,29545691.841215976
182,1004400.2918213685,297915.5588099733,8901.161131863722,11131.634283598734,24378.254285316652,4877615.9769188035,21587445.722652715,29533292.181916174
183,967709.620018884,298185.5153895942,8488.197441658816,10590.203337124085,23093.09835397811,4838444.286931647,21677100.564944882,29521469.295402043
184,932330.3460905787,298441.3483880263,8097.611094596647,10081.058642787813,21884.277434256175,4800067.456566246,21763986.628581867,29510192.055021454
185,898228.5842180249,298683.8114032065,7727.663614235538,9602.288412971895,20747.51160852981,4762491.3805196965,21848169.041866843,29499430.500176307
186,865368.2743569894,298913.80440853105,7379.646207488562,9151.758906234827,19678.54644912834,4725720.466017233,21929712.66891019,29489155.61656401
187,833716.94240272,299131.7957316502,7049.299749214849,8728.039531208275,18673.708704301484,4689757.375411262,22008681.938090134,29479341.682199318
188,803237.9048418795,299338.67832163576,6738.094984170455,8329.18063777062,17729.047418699025,4654603.388288691,22085141.67951817,29469962.807808794
189,773898.3102253301,299534.9248539183,6443.280764407363,7953.809660905602,16841.189661056487,4620258.2247243095,22159155.24961567,29460995.792314216
190,745664.4797668018,299721.1755422939,6164.4895047908085,7600.435542025708,16006.739721927299,4586720.4539615605,22230785.116598576,29452417.891181827
191,718502.7751452206,299898.05736257695,5901.621472319268,7267.624019303759,15222.46008705521,4553987.432680602,22300093.221835177,29444207.58921755
192,692381.2877866635,300065.9478079014,5652.121777834413,6954.272199139857,14485.501980594128,4522055.198458566,22367141.004468456,29436345.447340652
193,667266.3412697173,300225.53345735057,5417.29479611266,6658.9703277389035,13792.84230496455,4490918.874422329,22431989.055574913,29428811.86966669
194,643126.8535148324,300377.1295421495,5194.39255037941,6380.792000983016,13141.951674661761,4460572.284475817,22494697.721653014,29421589.65640796
195,619930.6457917269,300521.2703879605,4983.792009969286,6118.565391635174,12530.20737923295,4431008.357985085,22555326.270568956,29414661.67230527
196,597646.9879636611,300658.379446142,4784.85587997762,5871.314965859102,11955.21402579853,4402219.152120077,22613932.92481253,29408011.95260578
197,576246.2273153198,300788.7704290498,4595.977987518959,5638.229496951655,11414.799492649548,4374195.856367483,22670575.182064198,29401625.73866664
198,555697.5409952732,300912.95539793314,4418.227166513771,5418.260733296438,10906.708776607424,4346928.921399054,22725309.736513346,29395488.4308378
199,535972.691332703,301031.14618481393,4249.257963079421,5210.788293774304,10429.07831803823,4320407.924483217,22778192.73051916,29389587.16472501
200,517042.4569417238,301143.7813743197,4089.7118727484467,5014.926056248834,9979.924571141972,4294621.90529275,22829279.101523537,29383908.974187344
